id,split,name,flow,tool,area,arrival_ns,runtime_s
LSV01,public,epfl_priority,yosys_p5,yosys,508.858000,1.510000,2.77
LSV01,public,epfl_priority,dc_timing,dc,455.125998,1.550000,51.28
LSV01,public,epfl_priority,yosys_p3,yosys,421.344000,5.370000,2.67
LSV02,public,epfl_cavlc,yosys_p2,yosys,411.236000,0.380000,1.92
LSV02,public,epfl_cavlc,yosys_p1,yosys,393.680000,0.400000,1.96
LSV02,public,epfl_cavlc,yosys_p4,yosys,392.616000,0.420000,1.91
LSV02,public,epfl_cavlc,dc_timing,dc,386.498003,0.790000,50.33
LSV03,public,epfl_adder,yosys_p5,yosys,1011.864000,1.190000,3.03
LSV03,public,epfl_adder,yosys_p2,yosys,945.896000,2.140000,2.98
LSV03,public,epfl_adder,yosys_p3,yosys,779.114000,4.740000,2.79
LSV04,public,itc99_b11,yosys_p5,yosys,2650.158000,1.190000,3.19
LSV04,public,itc99_b11,yosys_p3,yosys,2174.018000,1.360000,2.53
LSV04,public,itc99_b11,dc_area,dc,1719.690014,1.990000,5.83
LSV04,public,itc99_b11,dc_timing,dc,749.588008,3.080000,51.71
LSV05,public,sog_axi_downsizer,yosys_p2,yosys,144.970000,0.510000,0.56
LSV05,public,sog_axi_downsizer,yosys_p3,yosys,127.946000,0.530000,0.59
LSV05,public,sog_axi_downsizer,yosys_p1,yosys,127.680000,0.550000,0.64
LSV05,public,sog_axi_downsizer,dc_area,dc,127.413998,0.630000,2.39
LSV05,public,sog_axi_downsizer,dc_timing,dc,124.221999,0.690000,50.69
LSV06,public,sog_pfpu_f2i,yosys_p3,yosys,809.172000,1.040000,1.24
LSV06,public,sog_pfpu_f2i,yosys_p1,yosys,795.872000,1.500000,1.32
LSV06,public,sog_pfpu_f2i,yosys_p4,yosys,791.084000,1.580000,1.32
LSV06,public,sog_pfpu_f2i,dc_timing,dc,724.850001,1.830000,51.39
LSV07,public,sog_qdiv,yosys_p1,yosys,2345.056000,1.820000,3.38
LSV07,public,sog_qdiv,yosys_p4,yosys,2290.792000,2.110000,3.33
LSV07,public,sog_qdiv,dc_timing,dc,2207.267965,3.260000,51.48
LSV08,public,sog_stage_mult,yosys_p5,yosys,2026.920000,0.910000,1.77
LSV08,public,sog_stage_mult,yosys_p1,yosys,1964.410000,1.020000,1.30
LSV08,public,sog_stage_mult,yosys_p4,yosys,1964.410000,1.020000,1.36
LSV08,public,sog_stage_mult,yosys_p3,yosys,1946.854000,1.120000,1.61
LSV08,public,sog_stage_mult,dc_area,dc,1900.835985,2.790000,5.12
LSV08,public,sog_stage_mult,dc_timing,dc,1346.491992,3.120000,51.05
LSV09,public,medium_sha256_wishbone,dc_area,dc,12569.031886,3.150000,19.40
LSV09,public,medium_sha256_wishbone,dc_timing,dc,12143.697863,3.500000,69.75
LSV10,public,medium_vexriscv_small,dc_timing,dc,13186.683867,2.720000,70.16
